LoanNumber,DateApproved,BorrowerName,Term,InitialApprovalAmount,F_Undisbursed,Channel,Region,TypeOfCall,InterestPerYear
5120868804,4/17/2021,HOPE COMMUNITY RESOURCES INC.,60,7223025,1,TLS,South,BrandName,0.3
1305708310,1/16/2021,FOUNTAINHEAD DEVELOPMENT INC,60,2000000,1,TLS,South,BrandName,0.3
1528398702,3/27/2021,NORTHERN ENERGY SERVICES LLC,60,2000000,0,TLS,South,BrandName,0.1
2524238501,2/20/2021,ALCAN ELECTRICAL AND ENGINEERING INC,60,2000000,0,TLS,South,BrandName,0.1
3041178300,1/21/2021,FAMILY CENTERED SERVICES OF ALASKA INC,60,2000000,0,TLS,South,BrandName,0.1
3582238406,2/5/2021,COLVILLE INC.,60,2000000,0,TLS,South,BrandName,0.1
4955798310,1/23/2021,ALLEN MARINE TOURS INC.,60,2000000,0,TLS,South,BrandName,0.1
5377518309,1/25/2021,FRESH ALE PUBS LIMITED LIABILITY COMPANY,60,2000000,0,TLS,South,BrandName,0.1
5805988710,4/3/2021,FILM-ON PRODUCTIONS LIMITED LIABILITY,60,2000000,0,TLS,South,BrandName,0.1
6275048401,2/10/2021,MIDNIGHT MOON COMPANY INC.,60,2000000,0,TLS,South,BrandName,0.1
6542748808,4/20/2021,NANA WORLEY LLC,60,2000000,0,TLS,North,BrandName,0.1
8143498600,3/24/2021,AHTNA' T'AENE NENE',60,2000000,0,TLS,North,BrandName,0.1
2126508308,1/20/2021,FAIRWEATHER LLC,60,1999987,0,TLS,North,BrandName,0.1
7467618405,2/12/2021,THE ARC OF ANCHORAGE,60,1991700,0,TLS,North,BrandName,0.1
4947078306,1/23/2021,SAMSON ELECTRIC INC.,60,1991300,0,TLS,North,BrandName,0.1
4793538603,3/20/2021,THE BREWS BROTHERS LLC,60,1975337,0,TLS,North,BrandName,0.1
5139728405,2/7/2021,PREMIER ALASKA TOURS INC,60,1973687,0,TLS,North,BrandName,0.1
3182448302,1/21/2021,HICKEL INVESTMENT COMPANY,60,1950000,0,TLS,North,BrandName,0.1
7194138810,4/21/2021,MCKENNA BROTHERS PAVING INC.,60,1908224,0,TLS,North,BrandName,0.1
2992408505,2/22/2021,SOURDOUGH EXPRESS INC.,60,1890107,0,TLS,North,BrandName,0.1
4106248500,2/25/2021,THE WATERFALL GROUP. LTD.,60,1818671.1,0,TLS,North,BrandName,0.1
5825418504,3/2/2021,WORLD WIDE MOVERS INC.,24,1789910,0,TLS,North,BrandName,0.1
9206638608,3/25/2021,CENTRAL ENVIRONMENTAL INC.,60,1772647,0,TLS,North,BrandName,0.1
4253458308,1/23/2021,FURNITURE ENTERPRISES OF ALASKA INC.,60,1740187,0,TLS,North,BrandName,0.1
8737768301,1/30/2021,ALASKA PACIFIC UNIVERSITY,60,1710600,0,TLS,North,BrandName,0.1
8818638408,2/14/2021,PENINSULA COMMUNITY HEALTH SERVICES OF AK INC.,60,1669367,0,TLS,South,BrandName,0.1
7019558309,1/27/2021,THE SUPERIOR GROUP INC.,60,1652572,0,TLS,South,BrandName,0.1
5108268308,1/25/2021,SLAYDEN PLUMBING & HEATING INC.,60,1615306.75,0,TLS,South,BrandName,0.1
9599348310,1/31/2021,HUNA TOTEM CORPORATION,60,1599470.4,0,TLS,South,BrandName,0.1
1811038400,2/2/2021,E. C. PHILLIPS AND SON INC.,60,1594802.12,0,TLS,South,BrandName,0.1
1340848606,3/13/2021,PRUHS CONSTRUCTION CO. L.L.C.,60,1573685,0,TLS,South,BrandName,0.1
9486278404,2/17/2021,SOLSTENXP INC.,60,1428125,0,TLS,South,BrandName,0.1
3348848708,3/31/2021,OLGOONIK DIVERSIFIED SERVICES LLC,60,1419170.42,0,TLS,South,BrandName,0.1
5572728308,1/25/2021,ALASKA CHILDREN'S SERVICES INC. DBA AK CHILD & FAMILY,60,1410320,0,TLS,South,BrandName,0.1
2125418401,2/3/2021,DELTA LEASING LLC,60,1408800,0,TLS,South,BrandName,0.1
8108518402,2/12/2021,WOLVERINE SUPPLY INC,60,1396885,0,TLS,South,BrandName,0.1
5869858400,2/9/2021,SUBWAY OF ALASKA INC,60,1376498.58,0,TLS,South,BrandName,0.1
3517009004,5/18/2021,OLGOONIK ENTERPRISES LLC,60,1371880,0,TLS,South,BrandName,0.1
1750318505,2/19/2021,MEDICAL PARK FAMILY CARE INC.,60,1371000,0,TLS,South,BrandName,0.1
8704858602,3/25/2021,BRECHAN CONSTRUCTION LLC,60,1360845,0,TLS,South,BrandName,0.1
2262238402,2/3/2021,DENALI VISIONS 3000 CORPORATION,60,1342978,0,TLS,South,BrandName,0.1
2821458406,2/4/2021,KALININ AVIATION LLC,60,1341797.5,0,TLS,South,BrandName,0.1
5573548304,1/25/2021,DENALI FAMILY SERVICES,60,1328227,0,TLS,South,BrandName,0.1
2293258302,1/20/2021,ANCHORAGE HOTEL PORTFOLIO LLC,60,1327784,0,TLS,South,BrandName,0.1
8115058709,4/7/2021,ARCTIC CIRCLE ENTERPRISES LLC,60,1316162,0,TLS,South,BrandName,0.1
4917768300,1/23/2021,ADVANCED PHYSICAL THERAPY INC,60,1280000,0,TLS,South,BrandName,0.1
7489088402,2/12/2021,LAND'S END ACQUISITION CORPORATION,60,1260757.96,0,TLS,South,BrandName,0.1
4871318603,3/20/2021,ALASKA RENT A CAR INC,60,1254510,0,TLS,South,BrandName,0.1
1814018302,1/19/2021,ALASKA ARCTIC CATERING & SUPPORT SERVICES INC,60,1235831.8,0,TLS,South,BrandName,0.1
2254238304,1/20/2021,COVENANT HOUSE ALASKA,60,1226862,0,TLS,South,BrandName,0.1
3563968603,3/17/2021,ANCHORAGE MUSEUM ASSOCIATION,60,1177057,0,TLS,South,BrandName,0.1
9731438300,1/31/2021,MAGTEC ALASKA LLC,60,1146225,0,TLS,South,NoBrandName,0.1
1759208503,2/19/2021,PRINCE WILLIAM SOUND AQUACULTURE CORPORATION,60,1139524,0,TLS,South,NoBrandName,0.1
6614728410,2/10/2021,FLOWLINE ALASKA INC.,60,1115282,0,TLS,South,NoBrandName,0.1
4609008402,2/6/2021,HOOK LINE & SINKER INC,60,1090759.81,0,TLS,South,NoBrandName,0.1
2609378507,2/20/2021,NORTHERN SOLUTIONS,60,1086352,0,TLS,South,NoBrandName,0.1
4663678307,1/23/2021,SEWARD ASSOCIATION FOR THE ADVANCEMENT,60,1084678.37,0,TLS,South,NoBrandName,0.1
2707928608,3/15/2021,CHENA HOLDINGS INC.,60,1071225,0,TLS,South,NoBrandName,0.1
4912358405,2/7/2021,MEDICAL GROUP OF ALASKA LLC,60,1069289.4,0,TLS,South,NoBrandName,0.1
1026308610,3/12/2021,CAPE FOX LODGE LLC,60,1062015,0,TLS,South,NoBrandName,0.1
2456488307,1/20/2021,PIKE'S ON THE RIVER INC.,60,1048122.2,0,TLS,South,NoBrandName,0.1
8192258409,2/13/2021,PETROTECHNICAL RESOURCES OF ALASKA LLC,60,1035634,0,TLS,South,NoBrandName,0.1
1285348409,2/1/2021,SATEO INC,60,1035239.65,0,TLS,South,NoBrandName,0.1
